,Function,s,time_mean,time_std,dist_mean,dist_std,iterNum_mean,iterNum_std
0,f1,0.01,0.0007320451736450195,3.1250167820170237e-05,2.7556836740905144e-06,3.1964284095500085e-07,11.86,0.2325514908539135
1,f2,0.01,0.0010184192657470704,0.0002746068093650524,1.3685207954026168e-05,4.6312352264594124e-07,12.68,0.17892193798371345
2,f3,0.01,0.0005517935752868652,2.8213480132119937e-05,2.0716785797958439e-09,5.2788722898745709e-10,6.56,0.2001529870949631
3,f1,0.1,0.0006437253952026367,2.2649167223567607e-05,3.5001588759187021e-06,4.7424046821070553e-07,11.6,0.20602099044819336
4,f2,0.1,0.0009665274620056152,8.1299385236620268e-05,1.418811249919827e-05,4.8009108236125131e-07,13.02,0.21090560777339754
5,f3,0.1,0.0005878734588623046,2.3220603590119625e-05,1.1366959462577598e-09,2.615918344008939e-10,6.76,0.18903737479255889
6,f1,1,0.0007422685623168946,5.5977778722790755e-05,2.7127171211982494e-06,3.4295238394874e-07,12.78,0.13059633421328468
7,f2,1,0.0006224894523620605,1.9542771223385091e-05,1.3339377050920475e-05,3.9920436867676322e-07,13.9,0.1410529297350398
8,f3,1,0.0005519509315490723,2.2562393074396418e-05,4.2173032177572623e-10,1.2550514678338759e-10,7.34,0.14860504995234725
9,f1,10,0.0007628631591796875,2.6972382631924336e-05,3.4843849070376189e-06,3.6099992246051974e-07,15.32,0.095698741675368931
10,f2,10,0.0010637450218200684,5.6080299499360884e-05,1.3456452420408382e-05,3.0701949720373772e-07,16.44,0.0836861219281127
11,f3,10,0.0007604813575744629,3.9405869821489378e-05,4.3867669496933103e-10,1.1802641745004079e-10,10.02,0.020100756305182026
